,minute,player,value,pindex
161,18,Jrue Holiday,336,2
162,19,Jrue Holiday,420,2
163,20,Jrue Holiday,498,2
164,21,Jrue Holiday,540,2
165,22,Jrue Holiday,540,2
166,23,Jrue Holiday,534,2
167,24,Jrue Holiday,480,2
168,25,Jrue Holiday,540,2
169,26,Jrue Holiday,540,2
170,27,Jrue Holiday,540,2
171,28,Jrue Holiday,540,2
172,29,Jrue Holiday,540,2
173,30,Jrue Holiday,540,2
174,31,Jrue Holiday,503,2
175,32,Jrue Holiday,480,2
176,33,Jrue Holiday,497,2
177,34,Jrue Holiday,391,2
178,35,Jrue Holiday,222,2
179,36,Jrue Holiday,19,2
180,37,Jrue Holiday,60,2
181,38,Jrue Holiday,89,2
182,39,Jrue Holiday,194,2
183,40,Jrue Holiday,296,2
184,41,Jrue Holiday,397,2
185,42,Jrue Holiday,500,2
186,43,Jrue Holiday,540,2
187,44,Jrue Holiday,540,2
188,45,Jrue Holiday,540,2
189,46,Jrue Holiday,442,2
190,47,Jrue Holiday,360,2
191,48,Jrue Holiday,357,2
192,1,Anthony Davis,540,1
193,2,Anthony Davis,540,1
194,3,Anthony Davis,540,1
195,4,Anthony Davis,540,1
196,5,Anthony Davis,540,1
197,6,Anthony Davis,540,1
198,7,Anthony Davis,540,1
199,8,Anthony Davis,540,1
200,9,Anthony Davis,540,1
201,10,Anthony Davis,364,1
202,11,Anthony Davis,248,1
203,12,Anthony Davis,155,1
204,13,Anthony Davis,60,1
205,14,Anthony Davis,84,1
206,15,Anthony Davis,120,1
207,16,Anthony Davis,214,1
208,17,Anthony Davis,285,1
209,18,Anthony Davis,410,1
210,19,Anthony Davis,489,1
211,20,Anthony Davis,540,1
212,21,Anthony Davis,477,1
213,22,Anthony Davis,446,1
214,23,Anthony Davis,475,1
215,24,Anthony Davis,420,1
216,25,Anthony Davis,540,1
217,26,Anthony Davis,540,1
218,27,Anthony Davis,540,1
219,28,Anthony Davis,540,1
220,29,Anthony Davis,540,1
221,30,Anthony Davis,540,1
222,31,Anthony Davis,522,1
223,32,Anthony Davis,420,1
224,33,Anthony Davis,369,1
225,34,Anthony Davis,307,1
226,35,Anthony Davis,344,1
227,36,Anthony Davis,326,1
228,37,Anthony Davis,240,1
229,38,Anthony Davis,269,1
230,39,Anthony Davis,314,1
231,40,Anthony Davis,383,1
232,41,Anthony Davis,471,1
233,42,Anthony Davis,471,1
234,43,Anthony Davis,540,1
235,44,Anthony Davis,540,1
236,45,Anthony Davis,480,1
237,46,Anthony Davis,415,1
238,47,Anthony Davis,360,1
239,48,Anthony Davis,357,1
240,1,Ian Clark,0,8
241,2,Ian Clark,0,8
242,3,Ian Clark,0,8
243,4,Ian Clark,0,8
244,5,Ian Clark,1,8
245,6,Ian Clark,60,8
246,7,Ian Clark,81,8
247,8,Ian Clark,140,8
248,9,Ian Clark,183,8
249,10,Ian Clark,441,8
250,11,Ian Clark,530,8
251,12,Ian Clark,540,8
252,13,Ian Clark,480,8
253,14,Ian Clark,480,8
254,15,Ian Clark,480,8
255,16,Ian Clark,480,8
256,17,Ian Clark,490,8
257,18,Ian Clark,413,8
258,19,Ian Clark,255,8
259,20,Ian Clark,139,8
260,21,Ian Clark,120,8
261,22,Ian Clark,138,8
262,23,Ian Clark,180,8
263,24,Ian Clark,200,8
264,25,Ian Clark,60,8
265,26,Ian Clark,60,8
266,27,Ian Clark,60,8
267,28,Ian Clark,60,8
268,29,Ian Clark,78,8
269,30,Ian Clark,179,8
270,31,Ian Clark,239,8
271,32,Ian Clark,331,8
272,33,Ian Clark,420,8
273,34,Ian Clark,420,8
274,35,Ian Clark,464,8
275,36,Ian Clark,480,8
276,37,Ian Clark,540,8
277,38,Ian Clark,511,8
278,39,Ian Clark,369,8
279,40,Ian Clark,330,8
280,41,Ian Clark,313,8
281,42,Ian Clark,331,8
282,43,Ian Clark,244,8
283,44,Ian Clark,240,8
284,45,Ian Clark,246,8
285,46,Ian Clark,281,8
286,47,Ian Clark,290,8
287,48,Ian Clark,235,8
288,1,Nikola Mirotic,120,6
289,2,Nikola Mirotic,120,6
290,3,Nikola Mirotic,120,6
291,4,Nikola Mirotic,120,6
292,5,Nikola Mirotic,167,6
293,6,Nikola Mirotic,163,6
294,7,Nikola Mirotic,277,6
295,8,Nikola Mirotic,470,6
296,9,Nikola Mirotic,420,6
297,10,Nikola Mirotic,420,6
298,11,Nikola Mirotic,420,6
299,12,Nikola Mirotic,470,6
300,13,Nikola Mirotic,540,6
301,14,Nikola Mirotic,516,6
302,15,Nikola Mirotic,480,6
303,16,Nikola Mirotic,480,6
304,17,Nikola Mirotic,388,6
305,18,Nikola Mirotic,171,6
306,19,Nikola Mirotic,120,6
307,20,Nikola Mirotic,133,6
308,21,Nikola Mirotic,306,6
309,22,Nikola Mirotic,381,6
310,23,Nikola Mirotic,377,6
311,24,Nikola Mirotic,420,6
312,25,Nikola Mirotic,180,6
313,26,Nikola Mirotic,180,6
314,27,Nikola Mirotic,203,6
