Date,Visitor,Visitor_Pts,Home,Home_Pts
Wed Nov 15 2017,Toronto Raptors,125,New Orleans Pelicans,116
Wed Nov 15 2017,Utah Jazz,101,New York Knicks,106
Wed Nov 15 2017,Chicago Bulls,79,Oklahoma City Thunder,92
Wed Nov 15 2017,Orlando Magic,94,Portland Trail Blazers,99
Thu Nov 16 2017,Golden State Warriors,88,Boston Celtics,92
Thu Nov 16 2017,Houston Rockets,142,Phoenix Suns,116
Fri Nov 17 2017,Utah Jazz,107,Brooklyn Nets,118
Fri Nov 17 2017,Charlotte Hornets,120,Chicago Bulls,123
Fri Nov 17 2017,Los Angeles Clippers,113,Cleveland Cavaliers,118
Fri Nov 17 2017,Minnesota Timberwolves,111,Dallas Mavericks,87
Fri Nov 17 2017,New Orleans Pelicans,114,Denver Nuggets,146
Fri Nov 17 2017,Detroit Pistons,100,Indiana Pacers,107
Fri Nov 17 2017,Phoenix Suns,122,Los Angeles Lakers,113
Fri Nov 17 2017,Portland Trail Blazers,82,Sacramento Kings,86
Fri Nov 17 2017,Oklahoma City Thunder,101,San Antonio Spurs,104
Fri Nov 17 2017,New York Knicks,84,Toronto Raptors,107
Fri Nov 17 2017,Miami Heat,91,Washington Wizards,88
Sat Nov 18 2017,Boston Celtics,110,Atlanta Hawks,99
Sat Nov 18 2017,Los Angeles Clippers,87,Charlotte Hornets,102
Sat Nov 18 2017,Milwaukee Bucks,79,Dallas Mavericks,111
Sat Nov 18 2017,Houston Rockets,105,Memphis Grizzlies,83
Sat Nov 18 2017,Utah Jazz,125,Orlando Magic,85
Sat Nov 18 2017,Golden State Warriors,124,Philadelphia 76ers,116
Sat Nov 18 2017,Sacramento Kings,90,Portland Trail Blazers,102
Sun Nov 19 2017,Golden State Warriors,118,Brooklyn Nets,111
Sun Nov 19 2017,Denver Nuggets,109,Los Angeles Lakers,127
Sun Nov 19 2017,Indiana Pacers,120,Miami Heat,95
Sun Nov 19 2017,Detroit Pistons,100,Minnesota Timberwolves,97
Sun Nov 19 2017,Chicago Bulls,105,Phoenix Suns,113
Sun Nov 19 2017,Washington Wizards,91,Toronto Raptors,100
Mon Nov 20 2017,Minnesota Timberwolves,102,Charlotte Hornets,118
Mon Nov 20 2017,Boston Celtics,110,Dallas Mavericks,102
Mon Nov 20 2017,Cleveland Cavaliers,116,Detroit Pistons,88
Mon Nov 20 2017,Portland Trail Blazers,100,Memphis Grizzlies,92
Mon Nov 20 2017,Washington Wizards,99,Milwaukee Bucks,88
Mon Nov 20 2017,Oklahoma City Thunder,107,New Orleans Pelicans,114
Mon Nov 20 2017,Los Angeles Clippers,85,New York Knicks,107
Mon Nov 20 2017,Indiana Pacers,105,Orlando Magic,97
Mon Nov 20 2017,Utah Jazz,86,Philadelphia 76ers,107
Mon Nov 20 2017,Denver Nuggets,114,Sacramento Kings,98
Mon Nov 20 2017,Atlanta Hawks,85,San Antonio Spurs,96
Tue Nov 21 2017,Chicago Bulls,94,Los Angeles Lakers,103
Wed Nov 22 2017,Los Angeles Clippers,116,Atlanta Hawks,103
Wed Nov 22 2017,Washington Wizards,124,Charlotte Hornets,129
Wed Nov 22 2017,Brooklyn Nets,109,Cleveland Cavaliers,119
Wed Nov 22 2017,Denver Nuggets,95,Houston Rockets,125
Wed Nov 22 2017,Dallas Mavericks,95,Memphis Grizzlies,94
Wed Nov 22 2017,Boston Celtics,98,Miami Heat,104
Wed Nov 22 2017,Orlando Magic,118,Minnesota Timberwolves,124
Wed Nov 22 2017,San Antonio Spurs,90,New Orleans Pelicans,107
Wed Nov 22 2017,Toronto Raptors,100,New York Knicks,108
Wed Nov 22 2017,Golden State Warriors,91,Oklahoma City Thunder,108
Wed Nov 22 2017,Portland Trail Blazers,81,Philadelphia 76ers,101
Wed Nov 22 2017,Milwaukee Bucks,113,Phoenix Suns,107
Wed Nov 22 2017,Los Angeles Lakers,102,Sacramento Kings,113
Wed Nov 22 2017,Chicago Bulls,80,Utah Jazz,110
Fri Nov 24 2017,New York Knicks,104,Atlanta Hawks,116
Fri Nov 24 2017,Orlando Magic,103,Boston Celtics,118
Fri Nov 24 2017,Portland Trail Blazers,127,Brooklyn Nets,125
Fri Nov 24 2017,Charlotte Hornets,99,Cleveland Cavaliers,100
Fri Nov 24 2017,Memphis Grizzlies,92,Denver Nuggets,104
Fri Nov 24 2017,Chicago Bulls,94,Golden State Warriors,143
Fri Nov 24 2017,Toronto Raptors,104,Indiana Pacers,107
Fri Nov 24 2017,Miami Heat,109,Minnesota Timberwolves,97
Fri Nov 24 2017,Detroit Pistons,99,Oklahoma City Thunder,98
Fri Nov 24 2017,New Orleans Pelicans,115,Phoenix Suns,91
Sat Nov 25 2017,Toronto Raptors,112,Atlanta Hawks,78
Sat Nov 25 2017,San Antonio Spurs,106,Charlotte Hornets,86
Sat Nov 25 2017,Oklahoma City Thunder,81,Dallas Mavericks,97
Sat Nov 25 2017,New Orleans Pelicans,95,Golden State Warriors,110
Sat Nov 25 2017,New York Knicks,102,Houston Rockets,117
Sat Nov 25 2017,Boston Celtics,108,Indiana Pacers,98
Sat Nov 25 2017,Orlando Magic,111,Philadelphia 76ers,130
Sat Nov 25 2017,Los Angeles Clippers,97,Sacramento Kings,95
Sat Nov 25 2017,Milwaukee Bucks,108,Utah Jazz,121
Sat Nov 25 2017,Portland Trail Blazers,108,Washington Wizards,105
Sun Nov 26 2017,Miami Heat,100,Chicago Bulls,93
Sun Nov 26 2017,Brooklyn Nets,98,Memphis Grizzlies,88
Sun Nov 26 2017,Phoenix Suns,108,Minnesota Timberwolves,119
Mon Nov 27 2017,Detroit Pistons,118,Boston Celtics,108
Mon Nov 27 2017,Sacramento Kings,110,Golden State Warriors,106
Mon Nov 27 2017,Brooklyn Nets,103,Houston Rockets,117
Mon Nov 27 2017,Orlando Magic,109,Indiana Pacers,121
Mon Nov 27 2017,Los Angeles Lakers,115,Los Angeles Clippers,120
Mon Nov 27 2017,Portland Trail Blazers,103,New York Knicks,91
Mon Nov 27 2017,Cleveland Cavaliers,113,Philadelphia 76ers,91
Mon Nov 27 2017,Dallas Mavericks,108,San Antonio Spurs,115
Tue Nov 28 2017,Phoenix Suns,104,Chicago Bulls,99
Tue Nov 28 2017,Miami Heat,97,Cleveland Cavaliers,108
Tue Nov 28 2017,Washington Wizards,92,Minnesota Timberwolves,89
Tue Nov 28 2017,Milwaukee Bucks,112,Sacramento Kings,87
Tue Nov 28 2017,Denver Nuggets,77,Utah Jazz,106
Wed Nov 29 2017,Brooklyn Nets,109,Dallas Mavericks,104
Wed Nov 29 2017,Phoenix Suns,107,Detroit Pistons,131
Wed Nov 29 2017,Indiana Pacers,97,Houston Rockets,118
Wed Nov 29 2017,Golden State Warriors,127,Los Angeles Lakers,123
Wed Nov 29 2017,Minnesota Timberwolves,120,New Orleans Pelicans,102
Wed Nov 29 2017,Miami Heat,86,New York Knicks,115
Wed Nov 29 2017,Oklahoma City Thunder,108,Orlando Magic,121
Wed Nov 29 2017,Washington Wizards,113,Philadelphia 76ers,118
Wed Nov 29 2017,Memphis Grizzlies,95,San Antonio Spurs,104
Wed Nov 29 2017,Charlotte Hornets,113,Toronto Raptors,126
Thu Nov 30 2017,Cleveland Cavaliers,121,Atlanta Hawks,114
Thu Nov 30 2017,Philadelphia 76ers,97,Boston Celtics,108
Thu Nov 30 2017,Chicago Bulls,110,Denver Nuggets,111
Thu Nov 30 2017,Utah Jazz,126,Los Angeles Clippers,107
Thu Nov 30 2017,Milwaukee Bucks,103,Portland Trail Blazers,91
Fri Dec 1 2017,Sacramento Kings,107,Chicago Bulls,106
Fri Dec 1 2017,San Antonio Spurs,95,Memphis Grizzlies,79
Fri Dec 1 2017,Charlotte Hornets,100,Miami Heat,105
Fri Dec 1 2017,Minnesota Timberwolves,107,Oklahoma City Thunder,111
Fri Dec 1 2017,Golden State Warriors,133,Orlando Magic,112
Fri Dec 1 2017,Indiana Pacers,115,Toronto Raptors,120
Fri Dec 1 2017,New Orleans Pelicans,108,Utah Jazz,114
Fri Dec 1 2017,Detroit Pistons,91,Washington Wizards,109
Sat Dec 2 2017,Phoenix Suns,111,Boston Celtics,116
Sat Dec 2 2017,Atlanta Hawks,114,Brooklyn Nets,102
Sat Dec 2 2017,Memphis Grizzlies,111,Cleveland Cavaliers,116
Sat Dec 2 2017,Los Angeles Clippers,82,Dallas Mavericks,108
Sat Dec 2 2017,Los Angeles Lakers,100,Denver Nuggets,115
Sat Dec 2 2017,Sacramento Kings,104,Milwaukee Bucks,109
Sat Dec 2 2017,Detroit Pistons,103,Philadelphia 76ers,108
Sat Dec 2 2017,New Orleans Pelicans,123,Portland Trail Blazers,116
Sun Dec 3 2017,Houston Rockets,118,Los Angeles Lakers,95
Sun Dec 3 2017,Golden State Warriors,123,Miami Heat,95
Sun Dec 3 2017,Los Angeles Clippers,106,Minnesota Timberwolves,112
Sun Dec 3 2017,Orlando Magic,105,New York Knicks,100
Sun Dec 3 2017,San Antonio Spurs,87,Oklahoma City Thunder,90
Mon Dec 4 2017,Brooklyn Nets,110,Atlanta Hawks,90
Mon Dec 4 2017,Milwaukee Bucks,100,Boston Celtics,111
Mon Dec 4 2017,Cleveland Cavaliers,113,Chicago Bulls,91
Mon Dec 4 2017,Orlando Magic,94,Charlotte Hornets,104
Mon Dec 4 2017,Denver Nuggets,105,Dallas Mavericks,122
Mon Dec 4 2017,New York Knicks,97,Indiana Pacers,115
Mon Dec 4 2017,Minnesota Timberwolves,92,Memphis Grizzlies,95
Mon Dec 4 2017,Golden State Warriors,125,New Orleans Pelicans,115
Mon Dec 4 2017,Phoenix Suns,115,Philadelphia 76ers,101
Mon Dec 4 2017,Detroit Pistons,93,San Antonio Spurs,96
Mon Dec 4 2017,Washington Wizards,69,Utah Jazz,116
Tue Dec 5 2017,Utah Jazz,94,Oklahoma City Thunder,100
Tue Dec 5 2017,Washington Wizards,106,Portland Trail Blazers,92
Tue Dec 5 2017,Phoenix Suns,113,Toronto Raptors,126
Wed Dec 6 2017,Dallas Mavericks,90,Boston Celtics,97
Wed Dec 6 2017,Golden State Warriors,101,Charlotte Hornets,87
Wed Dec 6 2017,Sacramento Kings,95,Cleveland Cavaliers,101
Wed Dec 6 2017,Chicago Bulls,96,Indiana Pacers,98
Wed Dec 6 2017,Minnesota Timberwolves,113,Los Angeles Clippers,107
Wed Dec 6 2017,Detroit Pistons,100,Milwaukee Bucks,104
Wed Dec 6 2017,Denver Nuggets,114,New Orleans Pelicans,123
Wed Dec 6 2017,Memphis Grizzlies,88,New York Knicks,99
Wed Dec 6 2017,Atlanta Hawks,106,Orlando Magic,110
Wed Dec 6 2017,Miami Heat,105,San Antonio Spurs,117
Thu Dec 7 2017,Oklahoma City Thunder,95,Brooklyn Nets,100
Thu Dec 7 2017,Los Angeles Lakers,107,Philadelphia 76ers,104
Thu Dec 7 2017,Washington Wizards,109,Phoenix Suns,99
Thu Dec 7 2017,Houston Rockets,112,Utah Jazz,101
Fri Dec 8 2017,Chicago Bulls,119,Charlotte Hornets,111
Fri Dec 8 2017,Golden State Warriors,102,Detroit Pistons,98
Fri Dec 8 2017,Cleveland Cavaliers,102,Indiana Pacers,106
Fri Dec 8 2017,Toronto Raptors,116,Memphis Grizzlies,107
Fri Dec 8 2017,Dallas Mavericks,102,Milwaukee Bucks,109
Fri Dec 8 2017,Sacramento Kings,116,New Orleans Pelicans,109
Fri Dec 8 2017,Denver Nuggets,103,Orlando Magic,89
Fri Dec 8 2017,Boston Celtics,102,San Antonio Spurs,105
Sat Dec 9 2017,Orlando Magic,110,Atlanta Hawks,117
Sat Dec 9 2017,Miami Heat,101,Brooklyn Nets,89
