Date,Visitor,Visitor_Pts,Home,Home_Pts
Mon Dec 11 2017,Miami Heat,107,Memphis Grizzlies,82
Mon Dec 11 2017,Charlotte Hornets,116,Oklahoma City Thunder,103
Tue Dec 12 2017,Washington Wizards,98,Brooklyn Nets,103
Tue Dec 12 2017,Atlanta Hawks,114,Cleveland Cavaliers,123
Tue Dec 12 2017,San Antonio Spurs,89,Dallas Mavericks,95
Tue Dec 12 2017,Denver Nuggets,103,Detroit Pistons,84
Tue Dec 12 2017,Philadelphia 76ers,118,Minnesota Timberwolves,112
Tue Dec 12 2017,Los Angeles Lakers,109,New York Knicks,113
Tue Dec 12 2017,Phoenix Suns,92,Sacramento Kings,99
Wed Dec 13 2017,Denver Nuggets,118,Boston Celtics,124
Wed Dec 13 2017,Utah Jazz,100,Chicago Bulls,103
Wed Dec 13 2017,Charlotte Hornets,96,Houston Rockets,108
Wed Dec 13 2017,Oklahoma City Thunder,100,Indiana Pacers,95
Wed Dec 13 2017,Portland Trail Blazers,102,Miami Heat,95
Wed Dec 13 2017,Milwaukee Bucks,108,New Orleans Pelicans,115
Wed Dec 13 2017,Los Angeles Clippers,106,Orlando Magic,95
Wed Dec 13 2017,Toronto Raptors,115,Phoenix Suns,109
Wed Dec 13 2017,Memphis Grizzlies,87,Washington Wizards,93
Thu Dec 14 2017,Detroit Pistons,105,Atlanta Hawks,91
Thu Dec 14 2017,New York Knicks,111,Brooklyn Nets,104
Thu Dec 14 2017,Los Angeles Lakers,112,Cleveland Cavaliers,121
Thu Dec 14 2017,Dallas Mavericks,97,Golden State Warriors,112
Thu Dec 14 2017,Sacramento Kings,96,Minnesota Timberwolves,119
Fri Dec 15 2017,Utah Jazz,107,Boston Celtics,95
Fri Dec 15 2017,Miami Heat,104,Charlotte Hornets,98
Fri Dec 15 2017,New Orleans Pelicans,111,Denver Nuggets,117
Fri Dec 15 2017,San Antonio Spurs,109,Houston Rockets,124
Fri Dec 15 2017,Detroit Pistons,104,Indiana Pacers,98
Fri Dec 15 2017,Atlanta Hawks,94,Memphis Grizzlies,96
Fri Dec 15 2017,Chicago Bulls,115,Milwaukee Bucks,109
Fri Dec 15 2017,Portland Trail Blazers,95,Orlando Magic,88
Fri Dec 15 2017,Oklahoma City Thunder,119,Philadelphia 76ers,117
Fri Dec 15 2017,Brooklyn Nets,87,Toronto Raptors,120
Fri Dec 15 2017,Los Angeles Clippers,91,Washington Wizards,100
Sat Dec 16 2017,Portland Trail Blazers,93,Charlotte Hornets,91
Sat Dec 16 2017,Utah Jazz,100,Cleveland Cavaliers,109
Sat Dec 16 2017,Milwaukee Bucks,111,Houston Rockets,115
Sat Dec 16 2017,Boston Celtics,102,Memphis Grizzlies,93
Sat Dec 16 2017,Los Angeles Clippers,85,Miami Heat,90
Sat Dec 16 2017,Phoenix Suns,108,Minnesota Timberwolves,106
Sat Dec 16 2017,Oklahoma City Thunder,96,New York Knicks,111
Sat Dec 16 2017,Dallas Mavericks,96,San Antonio Spurs,98
Sun Dec 17 2017,Indiana Pacers,109,Brooklyn Nets,97
Sun Dec 17 2017,Orlando Magic,110,Detroit Pistons,114
Sun Dec 17 2017,Sacramento Kings,93,Toronto Raptors,108
Sun Dec 17 2017,Cleveland Cavaliers,106,Washington Wizards,99
Mon Dec 18 2017,Miami Heat,104,Atlanta Hawks,110
Mon Dec 18 2017,Philadelphia 76ers,115,Chicago Bulls,117
Mon Dec 18 2017,New York Knicks,91,Charlotte Hornets,109
Mon Dec 18 2017,Phoenix Suns,97,Dallas Mavericks,91
Mon Dec 18 2017,Utah Jazz,99,Houston Rockets,120
Mon Dec 18 2017,Boston Celtics,112,Indiana Pacers,111
Mon Dec 18 2017,Golden State Warriors,116,Los Angeles Lakers,114
Mon Dec 18 2017,Portland Trail Blazers,107,Minnesota Timberwolves,108
Mon Dec 18 2017,Denver Nuggets,94,Oklahoma City Thunder,95
Mon Dec 18 2017,Los Angeles Clippers,91,San Antonio Spurs,109
Tue Dec 19 2017,Cleveland Cavaliers,116,Milwaukee Bucks,119
Tue Dec 19 2017,Sacramento Kings,101,Philadelphia 76ers,95
Tue Dec 19 2017,New Orleans Pelicans,106,Washington Wizards,116
Wed Dec 20 2017,Indiana Pacers,105,Atlanta Hawks,95
Wed Dec 20 2017,Miami Heat,90,Boston Celtics,89
Wed Dec 20 2017,Sacramento Kings,104,Brooklyn Nets,99
Wed Dec 20 2017,Orlando Magic,94,Chicago Bulls,112
Wed Dec 20 2017,Toronto Raptors,129,Charlotte Hornets,111
Wed Dec 20 2017,Detroit Pistons,93,Dallas Mavericks,110
Wed Dec 20 2017,Minnesota Timberwolves,112,Denver Nuggets,104
Wed Dec 20 2017,Memphis Grizzlies,84,Golden State Warriors,97
Wed Dec 20 2017,Los Angeles Lakers,122,Houston Rockets,116
Wed Dec 20 2017,Phoenix Suns,95,Los Angeles Clippers,108
Wed Dec 20 2017,Utah Jazz,79,Oklahoma City Thunder,107
Wed Dec 20 2017,San Antonio Spurs,93,Portland Trail Blazers,91
Thu Dec 21 2017,Chicago Bulls,112,Cleveland Cavaliers,115
Thu Dec 21 2017,Boston Celtics,93,New York Knicks,102
Thu Dec 21 2017,Toronto Raptors,114,Philadelphia 76ers,109
Thu Dec 21 2017,Memphis Grizzlies,95,Phoenix Suns,97
Thu Dec 21 2017,San Antonio Spurs,89,Utah Jazz,100
Fri Dec 22 2017,Washington Wizards,84,Brooklyn Nets,119
Fri Dec 22 2017,New York Knicks,101,Detroit Pistons,104
Fri Dec 22 2017,Los Angeles Lakers,106,Golden State Warriors,113
Fri Dec 22 2017,Los Angeles Clippers,128,Houston Rockets,118
Fri Dec 22 2017,Dallas Mavericks,101,Miami Heat,113
Fri Dec 22 2017,Charlotte Hornets,104,Milwaukee Bucks,109
Fri Dec 22 2017,Atlanta Hawks,117,Oklahoma City Thunder,120
Fri Dec 22 2017,New Orleans Pelicans,111,Orlando Magic,97
Fri Dec 22 2017,Denver Nuggets,102,Portland Trail Blazers,85
Sat Dec 23 2017,Dallas Mavericks,107,Atlanta Hawks,112
Sat Dec 23 2017,Chicago Bulls,92,Boston Celtics,117
Sat Dec 23 2017,Milwaukee Bucks,106,Charlotte Hornets,111
Sat Dec 23 2017,Denver Nuggets,96,Golden State Warriors,81
Sat Dec 23 2017,Brooklyn Nets,119,Indiana Pacers,123
Sat Dec 23 2017,Portland Trail Blazers,95,Los Angeles Lakers,92
Sat Dec 23 2017,Los Angeles Clippers,112,Memphis Grizzlies,115
Sat Dec 23 2017,New Orleans Pelicans,109,Miami Heat,94
Sat Dec 23 2017,Minnesota Timberwolves,115,Phoenix Suns,106
Sat Dec 23 2017,San Antonio Spurs,108,Sacramento Kings,99
Sat Dec 23 2017,Philadelphia 76ers,86,Toronto Raptors,102
Sat Dec 23 2017,Oklahoma City Thunder,103,Utah Jazz,89
Sat Dec 23 2017,Orlando Magic,103,Washington Wizards,130
Mon Dec 25 2017,Washington Wizards,111,Boston Celtics,103
Mon Dec 25 2017,Cleveland Cavaliers,92,Golden State Warriors,99
Mon Dec 25 2017,Minnesota Timberwolves,121,Los Angeles Lakers,104
Mon Dec 25 2017,Philadelphia 76ers,105,New York Knicks,98
Mon Dec 25 2017,Houston Rockets,107,Oklahoma City Thunder,112
Tue Dec 26 2017,Toronto Raptors,93,Dallas Mavericks,98
Tue Dec 26 2017,Utah Jazz,83,Denver Nuggets,107
Tue Dec 26 2017,Indiana Pacers,83,Detroit Pistons,107
Tue Dec 26 2017,Sacramento Kings,95,Los Angeles Clippers,122
Tue Dec 26 2017,Orlando Magic,89,Miami Heat,107
Tue Dec 26 2017,Chicago Bulls,115,Milwaukee Bucks,106
Tue Dec 26 2017,Memphis Grizzlies,97,Phoenix Suns,99
Tue Dec 26 2017,Brooklyn Nets,97,San Antonio Spurs,109
Wed Dec 27 2017,Washington Wizards,99,Atlanta Hawks,113
Wed Dec 27 2017,New York Knicks,87,Chicago Bulls,92
Wed Dec 27 2017,Boston Celtics,102,Charlotte Hornets,91
Wed Dec 27 2017,Utah Jazz,101,Golden State Warriors,126
Wed Dec 27 2017,Dallas Mavericks,98,Indiana Pacers,94
Wed Dec 27 2017,Memphis Grizzlies,109,Los Angeles Lakers,99
Wed Dec 27 2017,Denver Nuggets,125,Minnesota Timberwolves,128
Wed Dec 27 2017,Brooklyn Nets,113,New Orleans Pelicans,128
Wed Dec 27 2017,Toronto Raptors,107,Oklahoma City Thunder,124
Wed Dec 27 2017,Cleveland Cavaliers,95,Sacramento Kings,109
Thu Dec 28 2017,Houston Rockets,98,Boston Celtics,99
Thu Dec 28 2017,Minnesota Timberwolves,96,Milwaukee Bucks,102
Thu Dec 28 2017,Detroit Pistons,89,Orlando Magic,102
Thu Dec 28 2017,Philadelphia 76ers,110,Portland Trail Blazers,114
Thu Dec 28 2017,New York Knicks,107,San Antonio Spurs,119
Fri Dec 29 2017,Indiana Pacers,107,Chicago Bulls,119
Fri Dec 29 2017,Charlotte Hornets,111,Golden State Warriors,100
Fri Dec 29 2017,Los Angeles Clippers,121,Los Angeles Lakers,106
Fri Dec 29 2017,Brooklyn Nets,111,Miami Heat,87
Fri Dec 29 2017,Dallas Mavericks,128,New Orleans Pelicans,120
Fri Dec 29 2017,Milwaukee Bucks,97,Oklahoma City Thunder,95
Fri Dec 29 2017,Phoenix Suns,111,Sacramento Kings,101
Fri Dec 29 2017,Atlanta Hawks,98,Toronto Raptors,111
Fri Dec 29 2017,Houston Rockets,103,Washington Wizards,121
Sat Dec 30 2017,Portland Trail Blazers,89,Atlanta Hawks,104
Sat Dec 30 2017,Philadelphia 76ers,107,Denver Nuggets,102
Sat Dec 30 2017,San Antonio Spurs,79,Detroit Pistons,93
Sat Dec 30 2017,Memphis Grizzlies,128,Golden State Warriors,141
Sat Dec 30 2017,New York Knicks,105,New Orleans Pelicans,103
Sat Dec 30 2017,Miami Heat,117,Orlando Magic,111
Sat Dec 30 2017,Cleveland Cavaliers,101,Utah Jazz,104
Sun Dec 31 2017,Brooklyn Nets,105,Boston Celtics,108
Sun Dec 31 2017,Los Angeles Lakers,142,Houston Rockets,148
Sun Dec 31 2017,Minnesota Timberwolves,107,Indiana Pacers,90
Sun Dec 31 2017,Charlotte Hornets,98,Los Angeles Clippers,106
Sun Dec 31 2017,Dallas Mavericks,116,Oklahoma City Thunder,113
Sun Dec 31 2017,Philadelphia 76ers,123,Phoenix Suns,110
Sun Dec 31 2017,Memphis Grizzlies,114,Sacramento Kings,96
Sun Dec 31 2017,Chicago Bulls,110,Washington Wizards,114
Mon Jan 1 2018,Orlando Magic,95,Brooklyn Nets,98
Mon Jan 1 2018,Portland Trail Blazers,124,Chicago Bulls,120
Mon Jan 1 2018,Los Angeles Lakers,96,Minnesota Timberwolves,114
Mon Jan 1 2018,Milwaukee Bucks,127,Toronto Raptors,131
Tue Jan 2 2018,Portland Trail Blazers,110,Cleveland Cavaliers,127
Tue Jan 2 2018,Memphis Grizzlies,105,Los Angeles Clippers,113
Tue Jan 2 2018,San Antonio Spurs,100,New York Knicks,91
Tue Jan 2 2018,Atlanta Hawks,103,Phoenix Suns,104
Tue Jan 2 2018,Charlotte Hornets,131,Sacramento Kings,111
Wed Jan 3 2018,Cleveland Cavaliers,88,Boston Celtics,102
Wed Jan 3 2018,Minnesota Timberwolves,97,Brooklyn Nets,98
Wed Jan 3 2018,Toronto Raptors,124,Chicago Bulls,115
Wed Jan 3 2018,Golden State Warriors,125,Dallas Mavericks,122
Wed Jan 3 2018,Phoenix Suns,111,Denver Nuggets,134
Wed Jan 3 2018,Oklahoma City Thunder,133,Los Angeles Lakers,96
Wed Jan 3 2018,Detroit Pistons,104,Miami Heat,111
Wed Jan 3 2018,Indiana Pacers,101,Milwaukee Bucks,122
Wed Jan 3 2018,Houston Rockets,116,Orlando Magic,98
Wed Jan 3 2018,San Antonio Spurs,106,Philadelphia 76ers,112
Wed Jan 3 2018,New Orleans Pelicans,108,Utah Jazz,98
Wed Jan 3 2018,New York Knicks,103,Washington Wizards,121
Thu Jan 4 2018,Golden State Warriors,124,Houston Rockets,114
Thu Jan 4 2018,Oklahoma City Thunder,127,Los Angeles Clippers,117
Fri Jan 5 2018,Minnesota Timberwolves,84,Boston Celtics,91
Fri Jan 5 2018,Chicago Bulls,127,Dallas Mavericks,124
Fri Jan 5 2018,Utah Jazz,91,Denver Nuggets,99
Fri Jan 5 2018,Charlotte Hornets,108,Los Angeles Lakers,94
Fri Jan 5 2018,Washington Wizards,102,Memphis Grizzlies,100
Fri Jan 5 2018,New York Knicks,103,Miami Heat,107
Fri Jan 5 2018,Toronto Raptors,129,Milwaukee Bucks,110
Fri Jan 5 2018,Detroit Pistons,78,Philadelphia 76ers,114
Fri Jan 5 2018,Atlanta Hawks,89,Portland Trail Blazers,110
Fri Jan 5 2018,Phoenix Suns,89,San Antonio Spurs,103
Sat Jan 6 2018,Boston Celtics,87,Brooklyn Nets,85
Sat Jan 6 2018,Houston Rockets,101,Detroit Pistons,108
Sat Jan 6 2018,Chicago Bulls,86,Indiana Pacers,125
Sat Jan 6 2018,Golden State Warriors,121,Los Angeles Clippers,105
Sat Jan 6 2018,New Orleans Pelicans,98,Minnesota Timberwolves,116
Sat Jan 6 2018,Cleveland Cavaliers,131,Orlando Magic,127
Sat Jan 6 2018,Denver Nuggets,98,Sacramento Kings,106
Sat Jan 6 2018,Milwaukee Bucks,110,Washington Wizards,103
Sun Jan 7 2018,New York Knicks,100,Dallas Mavericks,96
Sun Jan 7 2018,Atlanta Hawks,113,Los Angeles Lakers,132
Sun Jan 7 2018,Utah Jazz,102,Miami Heat,103
Sun Jan 7 2018,Oklahoma City Thunder,100,Phoenix Suns,114
Sun Jan 7 2018,San Antonio Spurs,110,Portland Trail Blazers,111
Mon Jan 8 2018,Toronto Raptors,114,Brooklyn Nets,113
Mon Jan 8 2018,Houston Rockets,116,Chicago Bulls,107
Mon Jan 8 2018,Denver Nuggets,114,Golden State Warriors,124
Mon Jan 8 2018,Milwaukee Bucks,96,Indiana Pacers,109
Mon Jan 8 2018,Atlanta Hawks,107,Los Angeles Clippers,108
Mon Jan 8 2018,Cleveland Cavaliers,99,Minnesota Timberwolves,127
Mon Jan 8 2018,Detroit Pistons,109,New Orleans Pelicans,112
Mon Jan 8 2018,San Antonio Spurs,107,Sacramento Kings,100
Tue Jan 9 2018,Orlando Magic,99,Dallas Mavericks,114
Tue Jan 9 2018,Sacramento Kings,86,Los Angeles Lakers,99
Tue Jan 9 2018,Portland Trail Blazers,117,Oklahoma City Thunder,106
Tue Jan 9 2018,Miami Heat,90,Toronto Raptors,89
Wed Jan 10 2018,Detroit Pistons,114,Brooklyn Nets,80
Wed Jan 10 2018,Dallas Mavericks,115,Charlotte Hornets,111
Wed Jan 10 2018,Atlanta Hawks,110,Denver Nuggets,97
Wed Jan 10 2018,Los Angeles Clippers,125,Golden State Warriors,106
Wed Jan 10 2018,Portland Trail Blazers,112,Houston Rockets,121
Wed Jan 10 2018,Miami Heat,114,Indiana Pacers,106
Wed Jan 10 2018,New Orleans Pelicans,102,Memphis Grizzlies,105
Wed Jan 10 2018,Orlando Magic,103,Milwaukee Bucks,110
Wed Jan 10 2018,Oklahoma City Thunder,88,Minnesota Timberwolves,104
Wed Jan 10 2018,Chicago Bulls,122,New York Knicks,119
Wed Jan 10 2018,Utah Jazz,107,Washington Wizards,104
Thu Jan 11 2018,San Antonio Spurs,81,Los Angeles Lakers,93
Thu Jan 11 2018,Boston Celtics,114,Philadelphia 76ers,103
Thu Jan 11 2018,Los Angeles Clippers,121,Sacramento Kings,115
Thu Jan 11 2018,Cleveland Cavaliers,99,Toronto Raptors,133
Fri Jan 12 2018,Brooklyn Nets,110,Atlanta Hawks,105
Fri Jan 12 2018,Utah Jazz,88,Charlotte Hornets,99
Fri Jan 12 2018,Memphis Grizzlies,78,Denver Nuggets,87
Fri Jan 12 2018,Cleveland Cavaliers,95,Indiana Pacers,97
Fri Jan 12 2018,Golden State Warriors,108,Milwaukee Bucks,94
Fri Jan 12 2018,New York Knicks,108,Minnesota Timberwolves,118
Fri Jan 12 2018,Portland Trail Blazers,113,New Orleans Pelicans,119
Fri Jan 12 2018,Houston Rockets,112,Phoenix Suns,95
Fri Jan 12 2018,Orlando Magic,119,Washington Wizards,125
Sat Jan 13 2018,Detroit Pistons,105,Chicago Bulls,107
Sat Jan 13 2018,Oklahoma City Thunder,101,Charlotte Hornets,91
Sat Jan 13 2018,Los Angeles Lakers,107,Dallas Mavericks,101
Sat Jan 13 2018,Sacramento Kings,105,Los Angeles Clippers,126
Sat Jan 13 2018,Denver Nuggets,80,San Antonio Spurs,112
Sat Jan 13 2018,Golden State Warriors,127,Toronto Raptors,125
Sat Jan 13 2018,Brooklyn Nets,113,Washington Wizards,119
Sun Jan 14 2018,Milwaukee Bucks,79,Miami Heat,97
Sun Jan 14 2018,Portland Trail Blazers,103,Minnesota Timberwolves,120
Sun Jan 14 2018,New Orleans Pelicans,123,New York Knicks,118
Sun Jan 14 2018,Indiana Pacers,120,Phoenix Suns,97
Mon Jan 15 2018,San Antonio Spurs,99,Atlanta Hawks,102
Mon Jan 15 2018,New York Knicks,119,Brooklyn Nets,104
Mon Jan 15 2018,Miami Heat,111,Chicago Bulls,119
Mon Jan 15 2018,Golden State Warriors,118,Cleveland Cavaliers,108
Mon Jan 15 2018,Charlotte Hornets,118,Detroit Pistons,107
Mon Jan 15 2018,Houston Rockets,102,Los Angeles Clippers,113
Mon Jan 15 2018,Los Angeles Lakers,114,Memphis Grizzlies,123
Mon Jan 15 2018,Sacramento Kings,88,Oklahoma City Thunder,95
Mon Jan 15 2018,Toronto Raptors,111,Philadelphia 76ers,117
Mon Jan 15 2018,Indiana Pacers,109,Utah Jazz,94
Mon Jan 15 2018,Milwaukee Bucks,104,Washington Wizards,95
Tue Jan 16 2018,New Orleans Pelicans,116,Boston Celtics,113
Tue Jan 16 2018,Dallas Mavericks,102,Denver Nuggets,105
Tue Jan 16 2018,Minnesota Timberwolves,102,Orlando Magic,108
Tue Jan 16 2018,Phoenix Suns,111,Portland Trail Blazers,118
Wed Jan 17 2018,New Orleans Pelicans,93,Atlanta Hawks,94
Wed Jan 17 2018,San Antonio Spurs,100,Brooklyn Nets,95
Wed Jan 17 2018,Golden State Warriors,119,Chicago Bulls,112
Wed Jan 17 2018,Washington Wizards,109,Charlotte Hornets,133
Wed Jan 17 2018,Denver Nuggets,104,Los Angeles Clippers,109
Wed Jan 17 2018,New York Knicks,99,Memphis Grizzlies,105
Wed Jan 17 2018,Miami Heat,106,Milwaukee Bucks,101
Wed Jan 17 2018,Los Angeles Lakers,90,Oklahoma City Thunder,114
Wed Jan 17 2018,Utah Jazz,120,Sacramento Kings,105
Wed Jan 17 2018,Detroit Pistons,91,Toronto Raptors,96
Thu Jan 18 2018,Philadelphia 76ers,89,Boston Celtics,80
Thu Jan 18 2018,Orlando Magic,103,Cleveland Cavaliers,104
Thu Jan 18 2018,Minnesota Timberwolves,98,Houston Rockets,116
Thu Jan 18 2018,Indiana Pacers,86,Portland Trail Blazers,100
Fri Jan 19 2018,Miami Heat,95,Brooklyn Nets,101
Fri Jan 19 2018,Phoenix Suns,108,Denver Nuggets,100
Fri Jan 19 2018,Washington Wizards,122,Detroit Pistons,112
Fri Jan 19 2018,Indiana Pacers,86,Los Angeles Lakers,99
Fri Jan 19 2018,Sacramento Kings,88,Memphis Grizzlies,106
Fri Jan 19 2018,San Antonio Spurs,83,Toronto Raptors,86
Fri Jan 19 2018,New York Knicks,117,Utah Jazz,115
Sat Jan 20 2018,Chicago Bulls,113,Atlanta Hawks,97
Sat Jan 20 2018,Miami Heat,106,Charlotte Hornets,105
Sat Jan 20 2018,Oklahoma City Thunder,148,Cleveland Cavaliers,124
Sat Jan 20 2018,Golden State Warriors,108,Houston Rockets,116
Sat Jan 20 2018,Toronto Raptors,109,Minnesota Timberwolves,115
Sat Jan 20 2018,Memphis Grizzlies,104,New Orleans Pelicans,111
Sat Jan 20 2018,Milwaukee Bucks,94,Philadelphia 76ers,116
Sat Jan 20 2018,Dallas Mavericks,108,Portland Trail Blazers,117
Sat Jan 20 2018,Los Angeles Clippers,113,Utah Jazz,125
Sun Jan 21 2018,Orlando Magic,103,Boston Celtics,95
Sun Jan 21 2018,Brooklyn Nets,101,Detroit Pistons,100
Sun Jan 21 2018,New York Knicks,107,Los Angeles Lakers,127
Sun Jan 21 2018,Indiana Pacers,94,San Antonio Spurs,86
Mon Jan 22 2018,Utah Jazz,90,Atlanta Hawks,104
Mon Jan 22 2018,Sacramento Kings,107,Charlotte Hornets,112
Mon Jan 22 2018,Washington Wizards,75,Dallas Mavericks,98
Mon Jan 22 2018,Portland Trail Blazers,101,Denver Nuggets,104
Mon Jan 22 2018,Miami Heat,90,Houston Rockets,99
Mon Jan 22 2018,Minnesota Timberwolves,126,Los Angeles Clippers,118
Mon Jan 22 2018,Philadelphia 76ers,101,Memphis Grizzlies,105
Mon Jan 22 2018,Phoenix Suns,105,Milwaukee Bucks,109
Mon Jan 22 2018,Chicago Bulls,128,New Orleans Pelicans,132
Tue Jan 23 2018,New York Knicks,112,Golden State Warriors,123
Tue Jan 23 2018,Boston Celtics,107,Los Angeles Lakers,108
Tue Jan 23 2018,Brooklyn Nets,108,Oklahoma City Thunder,109
Tue Jan 23 2018,Sacramento Kings,105,Orlando Magic,99
Tue Jan 23 2018,Cleveland Cavaliers,102,San Antonio Spurs,114
Wed Jan 24 2018,Toronto Raptors,108,Atlanta Hawks,93
Wed Jan 24 2018,New Orleans Pelicans,101,Charlotte Hornets,96
Wed Jan 24 2018,Houston Rockets,104,Dallas Mavericks,97
Wed Jan 24 2018,Utah Jazz,98,Detroit Pistons,95
Wed Jan 24 2018,Phoenix Suns,101,Indiana Pacers,116
Wed Jan 24 2018,Boston Celtics,113,Los Angeles Clippers,102
Wed Jan 24 2018,San Antonio Spurs,108,Memphis Grizzlies,85
Wed Jan 24 2018,Chicago Bulls,101,Philadelphia 76ers,115
Wed Jan 24 2018,Minnesota Timberwolves,114,Portland Trail Blazers,123
Thu Jan 25 2018,New York Knicks,118,Denver Nuggets,130
Thu Jan 25 2018,Minnesota Timberwolves,113,Golden State Warriors,126
Thu Jan 25 2018,Sacramento Kings,89,Miami Heat,88
Thu Jan 25 2018,Washington Wizards,112,Oklahoma City Thunder,121
Fri Jan 26 2018,Los Angeles Lakers,108,Chicago Bulls,103
Fri Jan 26 2018,Atlanta Hawks,110,Charlotte Hornets,121
Fri Jan 26 2018,Indiana Pacers,108,Cleveland Cavaliers,115
Fri Jan 26 2018,Portland Trail Blazers,107,Dallas Mavericks,93
Fri Jan 26 2018,Los Angeles Clippers,109,Memphis Grizzlies,100
Fri Jan 26 2018,Brooklyn Nets,91,Milwaukee Bucks,116
Fri Jan 26 2018,Houston Rockets,113,New Orleans Pelicans,115
Fri Jan 26 2018,New York Knicks,107,Phoenix Suns,85
Fri Jan 26 2018,Philadelphia 76ers,97,San Antonio Spurs,78
Fri Jan 26 2018,Utah Jazz,97,Toronto Raptors,93
Sat Jan 27 2018,Washington Wizards,129,Atlanta Hawks,104
Sat Jan 27 2018,Dallas Mavericks,89,Denver Nuggets,91
Sat Jan 27 2018,Oklahoma City Thunder,121,Detroit Pistons,108
Sat Jan 27 2018,Boston Celtics,105,Golden State Warriors,109
Sat Jan 27 2018,Orlando Magic,112,Indiana Pacers,114
Sat Jan 27 2018,Charlotte Hornets,91,Miami Heat,95
Sat Jan 27 2018,Brooklyn Nets,97,Minnesota Timberwolves,111
Sun Jan 28 2018,Milwaukee Bucks,110,Chicago Bulls,96
Sun Jan 28 2018,Detroit Pistons,104,Cleveland Cavaliers,121
Sun Jan 28 2018,Phoenix Suns,102,Houston Rockets,113
Sun Jan 28 2018,Los Angeles Clippers,112,New Orleans Pelicans,103
Sun Jan 28 2018,Philadelphia 76ers,112,Oklahoma City Thunder,122
Sun Jan 28 2018,Sacramento Kings,98,San Antonio Spurs,113
Sun Jan 28 2018,Los Angeles Lakers,111,Toronto Raptors,123
Mon Jan 29 2018,Minnesota Timberwolves,100,Atlanta Hawks,105
Mon Jan 29 2018,Miami Heat,95,Dallas Mavericks,88
Mon Jan 29 2018,Boston Celtics,111,Denver Nuggets,110
Mon Jan 29 2018,Charlotte Hornets,96,Indiana Pacers,105
Mon Jan 29 2018,Phoenix Suns,109,Memphis Grizzlies,120
Mon Jan 29 2018,Philadelphia 76ers,95,Milwaukee Bucks,107
Tue Jan 30 2018,Cleveland Cavaliers,114,Detroit Pistons,125
Tue Jan 30 2018,Orlando Magic,107,Houston Rockets,114
Tue Jan 30 2018,Portland Trail Blazers,104,Los Angeles Clippers,96
Tue Jan 30 2018,Sacramento Kings,114,New Orleans Pelicans,103
Tue Jan 30 2018,Brooklyn Nets,95,New York Knicks,111
Tue Jan 30 2018,Denver Nuggets,104,San Antonio Spurs,106
Tue Jan 30 2018,Minnesota Timberwolves,104,Toronto Raptors,109
Tue Jan 30 2018,Golden State Warriors,99,Utah Jazz,129
Tue Jan 30 2018,Oklahoma City Thunder,96,Washington Wizards,102
Wed Jan 31 2018,Charlotte Hornets,123,Atlanta Hawks,110
Wed Jan 31 2018,New York Knicks,73,Boston Celtics,103
Wed Jan 31 2018,Philadelphia 76ers,108,Brooklyn Nets,116
Wed Jan 31 2018,Miami Heat,89,Cleveland Cavaliers,91
Wed Jan 31 2018,Memphis Grizzlies,101,Indiana Pacers,105
Wed Jan 31 2018,Los Angeles Lakers,105,Orlando Magic,127
Wed Jan 31 2018,Dallas Mavericks,88,Phoenix Suns,102
Wed Jan 31 2018,Chicago Bulls,108,Portland Trail Blazers,124
Date,Visitor/Neutral,PTS,Home/Neutral,PTS
Thu Feb 1 2018,Oklahoma City Thunder,124,Denver Nuggets,127
Thu Feb 1 2018,Memphis Grizzlies,102,Detroit Pistons,104
Thu Feb 1 2018,Milwaukee Bucks,89,Minnesota Timberwolves,108
Thu Feb 1 2018,Houston Rockets,102,San Antonio Spurs,91
Thu Feb 1 2018,Toronto Raptors,119,Washington Wizards,122
Fri Feb 2 2018,Atlanta Hawks,110,Boston Celtics,119
Fri Feb 2 2018,Los Angeles Lakers,102,Brooklyn Nets,99
Fri Feb 2 2018,Indiana Pacers,126,Charlotte Hornets,133
Fri Feb 2 2018,New York Knicks,90,Milwaukee Bucks,92
Fri Feb 2 2018,New Orleans Pelicans,114,Oklahoma City Thunder,100
Fri Feb 2 2018,Miami Heat,97,Philadelphia 76ers,103
Fri Feb 2 2018,Utah Jazz,129,Phoenix Suns,97
Fri Feb 2 2018,Golden State Warriors,119,Sacramento Kings,104
Fri Feb 2 2018,Portland Trail Blazers,105,Toronto Raptors,130
Sat Feb 3 2018,Houston Rockets,120,Cleveland Cavaliers,88
Sat Feb 3 2018,Golden State Warriors,108,Denver Nuggets,115
Sat Feb 3 2018,Miami Heat,107,Detroit Pistons,111
Sat Feb 3 2018,Philadelphia 76ers,92,Indiana Pacers,100
Sat Feb 3 2018,Chicago Bulls,103,Los Angeles Clippers,113
Sat Feb 3 2018,New Orleans Pelicans,107,Minnesota Timberwolves,118
Sat Feb 3 2018,Washington Wizards,115,Orlando Magic,98
Sat Feb 3 2018,Dallas Mavericks,106,Sacramento Kings,99
Sat Feb 3 2018,Utah Jazz,120,San Antonio Spurs,111
Sun Feb 4 2018,Portland Trail Blazers,96,Boston Celtics,97
Sun Feb 4 2018,Milwaukee Bucks,109,Brooklyn Nets,94
Sun Feb 4 2018,Atlanta Hawks,99,New York Knicks,96
Sun Feb 4 2018,Los Angeles Lakers,108,Oklahoma City Thunder,104
Sun Feb 4 2018,Charlotte Hornets,115,Phoenix Suns,110
Sun Feb 4 2018,Memphis Grizzlies,86,Toronto Raptors,101
