,TEAM_ID,DREB_CHANCE_PCT,DREB_CHANCES,DREB,DREB_CHANCE_DEFER,DEFER_PER_CHANCE,TEAM_NAME,DREB_PCT,OPP_FG_MISSED,PTS_2ND_CHANCE,OPP_PTS_2ND_CHANCE,2ND_CHANCE_PTS_DIFF,REB_CHANCES_PER_MISS,CONTEST_OREB_AGAINST,UNCONTEST_OREB_AGAINST,UNCONTEST_OREB_PER_MISS,OREB_CONTEST_PCT,CONTESTS_WON,YEAR
0,1610612752,0.615,4531,2788,878,0.19377620834252923,New York Knicks,0.758,3921.0,1079.0,1043.0,36.0,1.155572558020913,584,305,0.07778627901045651,0.34308211473565803,1.296987087517934,2015-16
1,1610612751,0.607,4303,2614,842,0.1956774343481292,Brooklyn Nets,0.757,3639.0,1035.0,989.0,46.0,1.1824677109095905,561,279,0.07666941467436109,0.33214285714285713,1.2853863810252486,2015-16
2,1610612745,0.573,4540,2601,965,0.21255506607929514,Houston Rockets,0.728,3777.0,1136.0,1202.0,-66.0,1.202012178978025,635,336,0.08895949166004766,0.34603501544799176,1.322952710495963,2015-16
3,1610612746,0.5770000000000001,4727,2727,1056,0.22339750370213665,LA Clippers,0.738,3931.0,869.0,1135.0,-266.0,1.2024930043245994,583,385,0.09793945560925973,0.3977272727272727,1.3003300330033003,2015-16
4,1610612758,0.585,4655,2723,985,0.21160042964554243,Sacramento Kings,0.7490000000000001,3867.0,1063.0,1117.0,-54.0,1.2037755365916731,640,280,0.07240755107318335,0.30434782608695654,1.3172970987881014,2015-16
5,1610612738,0.574,4699,2699,1007,0.21430091508831667,Boston Celtics,0.746,3898.0,1174.0,1164.0,10.0,1.2054899948691638,626,298,0.07644946126218574,0.3225108225108225,1.333827343460541,2015-16
6,1610612759,0.621,4558,2831,995,0.21829749890302763,San Antonio Spurs,0.7909999999999999,3781.0,970.0,876.0,94.0,1.205501190161333,477,270,0.07140967997884158,0.3614457831325301,1.2401978099611444,2015-16
7,1610612748,0.603,4663,2811,1059,0.22710701265279862,Miami Heat,0.778,3860.0,1042.0,1062.0,-20.0,1.2080310880829015,517,286,0.07409326424870466,0.3561643835616438,1.271433653504091,2015-16
8,1610612749,0.5660000000000001,4518,2559,1013,0.2242142540947322,Milwaukee Bucks,0.731,3720.0,994.0,1153.0,-159.0,1.2145161290322581,611,330,0.08870967741935484,0.35069075451647186,1.3247362250879249,2015-16
9,1610612763,0.585,4267,2497,933,0.21865479259432857,Memphis Grizzlies,0.7509999999999999,3512.0,1055.0,970.0,85.0,1.2149772209567198,543,287,0.08171981776765376,0.3457831325301205,1.2915498598317983,2015-16
10,1610612750,0.5770000000000001,4486,2587,1023,0.22804279982166742,Minnesota Timberwolves,0.747,3686.0,1068.0,1079.0,-11.0,1.2170374389582204,576,304,0.08247422680412371,0.34545454545454546,1.307305759567066,2015-16
11,1610612741,0.578,5000,2889,1079,0.2158,Chicago Bulls,0.7490000000000001,4099.0,1114.0,1169.0,-55.0,1.2198097096852891,666,303,0.07392046840692852,0.3126934984520124,1.3139494634821738,2015-16
12,1610612740,0.605,4479,2712,977,0.2181290466622014,New Orleans Pelicans,0.7879999999999999,3659.0,944.0,927.0,17.0,1.2241049467067504,501,229,0.06258540584859251,0.3136986301369863,1.2647492625368733,2015-16
13,1610612764,0.594,4528,2688,997,0.22018551236749118,Washington Wizards,0.777,3698.0,869.0,958.0,-89.0,1.2244456462952948,535,238,0.06435911303407248,0.3078913324708926,1.287202380952381,2015-16
14,1610612739,0.609,4561,2777,1050,0.23021267265950449,Cleveland Cavaliers,0.785,3717.0,1084.0,919.0,165.0,1.2270648372343287,503,257,0.06914178100618779,0.3381578947368421,1.2459488656823912,2015-16
15,1610612744,0.584,5089,2972,1123,0.22067203772843388,Golden State Warriors,0.76,4142.0,1004.0,1130.0,-126.0,1.2286335103814583,638,299,0.07218734910671173,0.31910352187833513,1.2930686406460297,2015-16
16,1610612760,0.586,4980,2916,1165,0.23393574297188754,Oklahoma City Thunder,0.76,4042.0,1299.0,1143.0,156.0,1.232063334982682,559,364,0.0900544285007422,0.39436619718309857,1.2613168724279835,2015-16
17,1610612762,0.593,4496,2665,1012,0.22508896797153025,Utah Jazz,0.777,3629.0,1107.0,940.0,167.0,1.2389087903003582,500,264,0.07274731330945164,0.34554973821989526,1.2626641651031896,2015-16
18,1610612747,0.5770000000000001,4585,2645,1015,0.22137404580152673,Los Angeles Lakers,0.747,3700.0,1062.0,1172.0,-110.0,1.2391891891891893,595,302,0.08162162162162162,0.3366778149386845,1.28468809073724,2015-16
19,1610612765,0.601,4624,2777,1073,0.2320501730103806,Detroit Pistons,0.7929999999999999,3721.0,1224.0,879.0,345.0,1.2426766998118786,510,215,0.057780166621875836,0.296551724137931,1.2625135037810586,2015-16
20,1610612754,0.57,4876,2779,1128,0.23133716160787532,Indiana Pacers,0.76,3897.0,1054.0,1070.0,-16.0,1.2512188863228124,595,283,0.07261996407492943,0.3223234624145786,1.300467794170565,2015-16
21,1610612755,0.551,4729,2605,1112,0.2351448509198562,Philadelphia 76ers,0.74,3752.0,959.0,1207.0,-248.0,1.2603944562899787,637,277,0.0738272921108742,0.30306345733041573,1.3339731285988483,2015-16
22,1610612756,0.59,4634,2733,1069,0.2306862321968062,Phoenix Suns,0.7709999999999999,3662.0,1150.0,1034.0,116.0,1.2654287274713272,528,286,0.0780993992353905,0.35135135135135137,1.2352725942188072,2015-16
23,1610612761,0.5660000000000001,4747,2688,1175,0.24752475247524752,Toronto Raptors,0.777,3741.0,1010.0,948.0,62.0,1.268912055600107,514,262,0.07003475006682705,0.33762886597938147,1.2942708333333333,2015-16
24,1610612742,0.5720000000000001,4860,2781,1139,0.23436213991769547,Dallas Mavericks,0.762,3827.0,872.0,1100.0,-228.0,1.2699242226286909,602,266,0.06950614058008885,0.3064516129032258,1.2804746494066883,2015-16
25,1610612743,0.57,4766,2718,1164,0.24422996223248006,Denver Nuggets,0.773,3722.0,1092.0,995.0,97.0,1.2804943578721117,529,272,0.07307898979043526,0.33957553058676654,1.2693156732891833,2015-16
26,1610612757,0.5720000000000001,4867,2782,1134,0.23299773988083008,Portland Trail Blazers,0.762,3799.0,1156.0,1017.0,139.0,1.2811266122663858,596,271,0.0713345617267702,0.31257208765859285,1.2681524083393243,2015-16
