,Above the Break 3,Assists,Corner 3,Exp_Pts_Per_Past,GP,In The Paint \(Non-RA\),Mid-Range,Player,Restricted Area,Year,3_pct,Mid,Points_Created,PPG,PLAYER_NAME,POTENTIAL_AST,Pts_Per_Past,Diff,Ast_pct
12,0.3,199,0.1,1.0878999999999999,30,0.11,0.15,Elfrid Payton,0.35,2017-18,0.4,0.26,477.6,15.92,Elfrid Payton,404,1.1821782178217823,0.09427821782178247,0.49257425742574257
32,0.21,220,0.07,1.1080999999999999,31,0.13,0.1,Lonzo Ball,0.49,2017-18,0.28,0.23,501.6,16.18064516129032,Lonzo Ball,418,1.2,0.09190000000000009,0.5263157894736842
38,0.28,180,0.15,1.1083,33,0.06,0.13,Reggie Jackson,0.38,2017-18,0.43000000000000005,0.19,437.4,13.254545454545454,Reggie Jackson,366,1.1950819672131148,0.08678196721311471,0.4918032786885246
33,0.18,168,0.08,1.1597,35,0.07,0.06,Lou Williams,0.61,2017-18,0.26,0.13,379.67999999999995,10.847999999999999,Lou Williams,306,1.2407843137254901,0.08108431372549019,0.5490196078431373
39,0.23,182,0.2,1.1313,37,0.08,0.1,Ricky Rubio,0.4,2017-18,0.43000000000000005,0.18,442.26,11.952972972972972,Ricky Rubio,365,1.2116712328767123,0.08037123287671233,0.4986301369863014
9,0.37,137,0.15,1.0867,31,0.05,0.15,Dennis Smith Jr.,0.28,2017-18,0.52,0.2,345.24,11.136774193548387,Dennis Smith Jr.,299,1.154648829431438,0.0679488294314381,0.45819397993311034
4,0.2,203,0.06,1.0829,32,0.15,0.14,Damian Lillard,0.45,2017-18,0.26,0.29000000000000004,458.78,14.336875,Damian Lillard,402,1.1412437810945273,0.058343781094527314,0.5049751243781094
21,0.19,182,0.05,1.0593,36,0.13,0.19,Jimmy Butler,0.43,2017-18,0.24,0.32,407.67999999999995,11.324444444444444,Jimmy Butler,365,1.1169315068493149,0.05763150684931495,0.4986301369863014
15,0.21,161,0.17,1.1152000000000002,34,0.1,0.1,Goran Dragic,0.42,2017-18,0.38,0.2,383.17999999999995,11.269999999999998,Goran Dragic,330,1.161151515151515,0.045951515151514855,0.48787878787878786
10,0.22,129,0.14,1.1262,29,0.06,0.09,Devin Booker,0.48,2017-18,0.36,0.15,304.44,10.49793103448276,Devin Booker,260,1.170923076923077,0.044723076923076865,0.49615384615384617
13,0.19,125,0.1,1.1149,29,0.08,0.14,Eric Bledsoe,0.49,2017-18,0.29000000000000004,0.22000000000000003,286.25,9.870689655172415,Eric Bledsoe,250,1.145,0.030100000000000016,0.5
22,0.16,160,0.12,1.1327,37,0.11,0.08,Joe Ingles,0.53,2017-18,0.28,0.19,364.79999999999995,9.859459459459458,Joe Ingles,316,1.1544303797468354,0.021730379746835338,0.5063291139240507
1,0.34,267,0.08,1.0935000000000001,36,0.09,0.09,Ben Simmons,0.39,2017-18,0.42000000000000004,0.18,646.1400000000001,17.948333333333338,Ben Simmons,594,1.087777777777778,-0.005722222222222184,0.4494949494949495
35,0.21,111,0.01,1.0621,23,0.09,0.25,Nicolas Batum,0.44,2017-18,0.22,0.33999999999999997,246.42000000000002,10.71391304347826,Nicolas Batum,234,1.0530769230769232,-0.0090230769230768,0.47435897435897434
44,0.26,170,0.08,1.1156000000000001,37,0.08,0.14,Tyreke Evans,0.45,2017-18,0.34,0.22000000000000003,397.79999999999995,10.75135135135135,Tyreke Evans,365,1.08986301369863,-0.025736986301370113,0.4657534246575342
43,0.3,151,0.1,1.1205,31,0.07,0.12,T.J. McConnell,0.42,2017-18,0.4,0.19,362.4,11.69032258064516,T.J. McConnell,340,1.0658823529411765,-0.05461764705882355,0.4441176470588235
