,minute,player,value,pindex
0,1,Milos Teodosic,1,6
1,2,Milos Teodosic,1,6
2,3,Milos Teodosic,1,6
3,4,Milos Teodosic,1,6
4,5,Milos Teodosic,1,6
5,6,Milos Teodosic,0,6
6,7,Milos Teodosic,0,6
7,8,Milos Teodosic,0,6
8,9,Milos Teodosic,0,6
9,10,Milos Teodosic,0,6
10,11,Milos Teodosic,0,6
11,12,Milos Teodosic,0,6
12,13,Milos Teodosic,1,6
13,14,Milos Teodosic,1,6
14,15,Milos Teodosic,1,6
15,16,Milos Teodosic,1,6
16,17,Milos Teodosic,1,6
17,18,Milos Teodosic,1,6
18,19,Milos Teodosic,1,6
19,20,Milos Teodosic,0,6
20,21,Milos Teodosic,0,6
21,22,Milos Teodosic,0,6
22,23,Milos Teodosic,0,6
23,24,Milos Teodosic,0,6
24,25,Milos Teodosic,1,6
25,26,Milos Teodosic,1,6
26,27,Milos Teodosic,1,6
27,28,Milos Teodosic,1,6
28,29,Milos Teodosic,1,6
29,30,Milos Teodosic,1,6
30,31,Milos Teodosic,0,6
31,32,Milos Teodosic,0,6
32,33,Milos Teodosic,0,6
33,34,Milos Teodosic,0,6
34,35,Milos Teodosic,0,6
35,36,Milos Teodosic,1,6
36,37,Milos Teodosic,1,6
37,38,Milos Teodosic,1,6
38,39,Milos Teodosic,1,6
39,40,Milos Teodosic,1,6
40,41,Milos Teodosic,1,6
41,42,Milos Teodosic,0,6
42,43,Milos Teodosic,0,6
43,44,Milos Teodosic,0,6
44,45,Milos Teodosic,1,6
45,46,Milos Teodosic,1,6
46,47,Milos Teodosic,1,6
47,48,Milos Teodosic,1,6
48,1,DeAndre Jordan,1,3
49,2,DeAndre Jordan,1,3
50,3,DeAndre Jordan,1,3
51,4,DeAndre Jordan,1,3
52,5,DeAndre Jordan,1,3
53,6,DeAndre Jordan,1,3
54,7,DeAndre Jordan,1,3
55,8,DeAndre Jordan,1,3
56,9,DeAndre Jordan,1,3
57,10,DeAndre Jordan,1,3
58,11,DeAndre Jordan,0,3
59,12,DeAndre Jordan,0,3
60,13,DeAndre Jordan,0,3
61,14,DeAndre Jordan,0,3
62,15,DeAndre Jordan,0,3
63,16,DeAndre Jordan,0,3
64,17,DeAndre Jordan,0,3
65,18,DeAndre Jordan,1,3
66,19,DeAndre Jordan,1,3
67,20,DeAndre Jordan,1,3
68,21,DeAndre Jordan,1,3
